3.8.0 (default, Nov 16 2019, 06:37:13) 
[Clang 11.0.0 (clang-1100.0.33.12)]
vmi-centos-7.4-amd64-100gb => d217f0fb-7cd4-40c9-a63f-03a8f3639c5d
vmi-centos-7.4-amd64-30gb => ce2a0835-2f4e-48d0-85b2-2da3940a9ae6
vmi-centos-7.5-amd64-100gb => 648489d9-26bd-443f-9ee6-70c03c6ce2fb
vmi-centos-7.5-amd64-30gb => 8b56d5dd-991f-41f5-a0ad-d76e4bdee888
vmi-isucon7-qualify-ubuntu-16.04-amd64-100gb => 8e8c24c4-6d91-47e7-91ef-5f49d3a25892
vmi-isucon7-qualify-ubuntu-16.04-amd64-30gb => 9b073c54-5b27-49b7-a50d-0e2cf8bde2d3
vmi-mongodb-4.0-centos-7.5-amd64-100gb => 123f00bf-c2a0-4483-ad64-55a46bb364cf
vmi-mongodb-4.0-centos-7.5-amd64-30gb => 7c1d22a7-93dc-455c-83b0-105cc568e192
vmi-isucon8-qualify-centos-7.5-amd64-100gb => cd0841c1-429a-4bea-82c9-366bbf94ad6a
vmi-isucon8-qualify-centos-7.5-amd64-30gb => 79537d0b-2ef2-4df0-b2c0-e34e81135385
vmi-debian-9.7-amd64-100gb => 5e5a8911-b142-4cad-beb7-a4164f2d3d3a
vmi-debian-9.7-amd64-30gb => aa92b987-409f-4440-ac77-032d2d555091
vmi-ubuntu-16.04-amd64-100gb => c01a3faf-41e4-4cc1-9451-afca0616c598
vmi-ubuntu-16.04-amd64-30gb => 7a0ce435-267c-4e86-9dfa-4566252f310a
vmi-ubuntu-16.04-i386-100gb => 6b42f140-db53-4465-9668-b157cad79ca5
vmi-ubuntu-16.04-i386-30gb => 6fe2e883-910e-4343-837e-f1527642fe07
vmi-redis-5.0-centos-7.6-amd64-100gb => 406dfe09-0fe1-4de3-a38f-df28e0a47782
vmi-redis-5.0-centos-7.6-amd64-30gb => 8f0fc12c-1889-4864-b261-1245560a2d84
vmi-archivebox-0.2.4-ubuntu-18.04-amd64-100gb => 2bbec39c-9c39-41a3-bc44-7487e820fcf7
vmi-archivebox-0.2.4-ubuntu-18.04-amd64-30gb => 74f7ba03-cf8e-4516-b0e2-e529cc50233a
vmi-nodejs-10.15.3-centos-7.6-amd64-100gb => 4c0cf0ee-9f98-446c-a514-0b12260d2cdc
vmi-nodejs-10.15.3-centos-7.6-amd64-30gb => 04d2d1c6-abcc-41ef-9d68-7d40da585212
vmi-minecraft-1.14.3-centos-7.6-amd64-100gb => e95f2ab2-3e93-4e8a-a2c3-d59a8c1e023f
vmi-minecraft-1.14.2-centos-7.6-amd64-100gb => 799916aa-0146-4d5f-966c-15c19edc7330
vmi-minecraft-1.14.1-centos-7.6-amd64-100gb => 9864c54a-0788-4b6e-a311-3d5a2fef1482
vmi-minecraft-1.14.0-centos-7.6-amd64-100gb => 6d6a9d77-2322-43cb-aeb0-852972daf22d
vmi-minecraft-1.13.2-centos-7.5-amd64-100gb => 56ffe7a8-ea02-4d5e-a6b8-c83c451e7a29
vmi-minecraft-1.13.1-centos-7.5-amd64-100gb => b7c83996-f348-4a6b-9bf0-8fbdf9c93a8d
